unit_i,county_i,unit_j,county_j,distance_km,weight_inverse_distance
350211,集美区,350825,连城县,162.63084582740214,0.006840630990160762
350211,集美区,350881,漳平市,98.89984259903176,0.011248729772335105
350211,集美区,350902,蕉城区,274.26370943359393,0.004056306268957349
350211,集美区,350921,霞浦县,313.696468926929,0.0035464141745953923
350211,集美区,350922,古田县,233.555594830997,0.0047633095868587425
350211,集美区,350923,屏南县,275.0225141190624,0.00404511466083596
350211,集美区,350924,寿宁县,340.97733588615586,0.003262673165745011
350211,集美区,350925,周宁县,301.7972778607032,0.0036862413465388036
350211,集美区,350926,柘荣县,339.71325588928715,0.003274813639552376
350211,集美区,350981,福安市,314.7127764940666,0.003534961676218946
350211,集美区,350982,福鼎市,357.8692034807827,0.003108670970014676
350212,同安区,350102,鼓楼区,189.8514463351097,0.006185271780960593
350212,同安区,350103,台江区,188.34701185309234,0.006234677057191809
350212,同安区,350104,仓山区,184.1259985125382,0.0063776044832210095
350212,同安区,350105,马尾区,203.45680047690809,0.005771656640812982
350212,同安区,350111,晋安区,198.83082052849065,0.005905939483978765
350212,同安区,350121,闽侯县,186.20917015480006,0.006306256521174008
350212,同安区,350122,连江县,231.69634842458925,0.005068197239946165
350212,同安区,350123,罗源县,235.42346748247948,0.004987959807696316
350212,同安区,350124,闽清县,176.55999009564707,0.006650899747756948
350212,同安区,350125,永泰县,137.95620218159442,0.008511997105033213
350212,同安区,350128,平潭县,184.83308131817944,0.006353206824321933
350212,同安区,350181,福清市,159.70895562609542,0.007352642116953636
350212,同安区,350182,长乐市,191.16957424235596,0.00614262388900028
350212,同安区,350203,思明区,32.90655503450283,0.03568537613128636
350212,同安区,350205,海沧区,29.576577304759475,0.03970313337784837
350212,同安区,350206,湖里区,32.06295530204856,0.03662428439701818
350212,同安区,350211,集美区,15.702522444066576,0.0747830673558329
350212,同安区,350213,翔安区,21.950107253671064,0.05349781575188953
350212,同安区,350302,城厢区,113.9145512294957,0.010308452966867795
350212,同安区,350303,涵江区,135.42310783448545,0.008671214332389422
350212,同安区,350304,荔城区,121.37109321464202,0.009675143911857299
350212,同安区,350305,秀屿区,129.46372631451874,0.009070361459690337
350212,同安区,350322,仙游县,96.45972236962525,0.012173814777232709
350212,同安区,350402_350403,三元区（含原梅列区）,170.19865808426752,0.006899483267428032
350212,同安区,350421,明溪县,200.14690155277563,0.005867104534123743
350212,同安区,350423,清流县,188.93419687309753,0.006215300422187972
350212,同安区,350424,宁化县,213.1171982417164,0.005510032992547336
350212,同安区,350425,大田县,121.29897191961344,0.009680896507262423
350212,同安区,350426,尤溪县,151.11224190804475,0.007770930923688408
350212,同安区,350427,沙县,187.7030812926029,0.006256065619725046
350212,同安区,350428,将乐县,229.10874109908772,0.005125438636508594
350212,同安区,350429,泰宁县,251.71468298858272,0.0046651342688832
350212,同安区,350430,建宁县,263.0899213203126,0.0044634275144330455
350212,同安区,350481,永安市,149.094829683006,0.007876079915633416
350212,同安区,350502,鲤城区,49.95585234514325,0.023506410930155475
350212,同安区,350503,丰泽区,54.764872746928184,0.02144226279895766
350212,同安区,350504,洛江区,67.73962110623631,0.017335243014564197
350212,同安区,350505,泉港区,87.54286737547163,0.013413803189180519
350212,同安区,350521,惠安县,76.07890163838447,0.015435065022003968
350212,同安区,350524,安溪县,42.60700940395484,0.027560788941035367
350212,同安区,350525,永春县,68.15305312306927,0.01723008346332797
