"province_year","province_cn","distcode","county_cn","county_en","year_month","year","month","co2_million_tons","co2_10000_tons"
"福建省2013","福建省","350881","漳平市","Zhangping City","201303","2013","3","0.12920015929183","12.920015929183"
"福建省2013","福建省","350902","蕉城区","Jiaocheng District","201303","2013","3","0.209727499844097","20.9727499844097"
"福建省2013","福建省","350921","霞浦县","Xiapu County","201303","2013","3","0.211289741868449","21.1289741868449"
"福建省2013","福建省","350922","古田县","Gutian County","201303","2013","3","0.208512339231187","20.8512339231187"
"福建省2013","福建省","350923","屏南县","Pingnan County","201303","2013","3","0.21742586241849","21.742586241849"
"福建省2013","福建省","350924","寿宁县","Shouning County","201303","2013","3","0.189280380795675","18.9280380795675"
"福建省2013","福建省","350925","周宁县","Zhouning County","201303","2013","3","0.179840096446825","17.9840096446825"
"福建省2013","福建省","350926","柘荣县","Zherong County","201303","2013","3","0.2148679370319","21.48679370319"
"福建省2013","福建省","350981","福安市","Fu'an City","201303","2013","3","0.202280184785192","20.2280184785192"
"福建省2013","福建省","350982","福鼎市","Fuding City","201303","2013","3","0.217241063438388","21.7241063438388"
"福建省2013","福建省","350102","鼓楼区","Gulou District","201304","2013","4","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350103","台江区","Taijiang District","201304","2013","4","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350104","仓山区","Cangshan District","201304","2013","4","0.233698267272202","23.3698267272202"
"福建省2013","福建省","350105","马尾区","Mawei District","201304","2013","4","0.235637608802484","23.5637608802484"
"福建省2013","福建省","350111","晋安区","Jin'an District","201304","2013","4","0.239073241611199","23.9073241611199"
"福建省2013","福建省","350121","闽侯县","Minhou County","201304","2013","4","0.240719462097629","24.0719462097629"
"福建省2013","福建省","350122","连江县","Lianjiang County","201304","2013","4","0.241592871272409","24.1592871272409"
"福建省2013","福建省","350123","罗源县","Luoyuan County","201304","2013","4","0.235899921922555","23.5899921922555"
"福建省2013","福建省","350124","闽清县","Minqing County","201304","2013","4","0.235899921922555","23.5899921922555"
"福建省2013","福建省","350125","永泰县","Yongtai County","201304","2013","4","0.238866324662083","23.8866324662083"
"福建省2013","福建省","350128","平潭县","Pingtan County","201304","2013","4","0.235637608802484","23.5637608802484"
"福建省2013","福建省","350181","福清市","Fuqing City","201304","2013","4","0.241528652286771","24.1528652286771"
"福建省2013","福建省","350182","长乐市","Changle City","201304","2013","4","0.243170409596306","24.3170409596306"
"福建省2013","福建省","350203","思明区","Siming District","201304","2013","4","0.207595069791244","20.7595069791244"
"福建省2013","福建省","350205","海沧区","Haicang District","201304","2013","4","0.191380706395223","19.1380706395223"
"福建省2013","福建省","350206","湖里区","Huli District","201304","2013","4","0.224901807414834","22.4901807414834"
"福建省2013","福建省","350211","集美区","Jimei District","201304","2013","4","0.194220177520038","19.4220177520038"
