"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2020","350724","松溪县","1.58782742974473","80.16","14.2","29.15","36.82","18.49","10.67","13.1","6.45","6.65",,,"27494","6832","2035","710","170885","15378","29213","2363","28607","341065",,,"-18.1","-17.4","-19.6","-3.3","61190.8396946565","49.2366412213741","1.98082264189712","0.363647704590818","0.459331337325349","0.230663672654691","0.0342989021956088","0.213179890219561","12.1208200743873","260354961.832061"
"2021","350724","松溪县","1.87793193334722","85.54","14.54","29.83","41.17","17.18","12.66","13","6.5","6.5","85.67","9.76","28050","7371","2162","678","140763","14688","29505","1951","17820","36.06","9.3","53.1","1.5","-1.7","8.7","5.7","65800","50","2.1953845374646","0.348725742342764","0.481295300444237","0.200841711480009","0.0327916764086977","0.164558101472995","14.4456302565171","27738.4615384615"
"2013","350725","政和县","1.17938691599966","38.92","12.03","13.93","12.14","1.79","12.96","16.6","7","9.6","39.89","36.09",,,,,,,,,,"138221","81.4","82",,,,"16.6","23445.7831325301","42.1686746987952","3.03028498458289","0.357913669064748","0.311921891058582","0.0459917780061665",,,"7.10474045782928","83265662.6506024"
"2014","350725","政和县","1.43400525922712","43.4","12.85","15.96","14.6","13.76","2.2","16.5","7.13","9.37","55.67","43.73",,,,,,,,,,"168738","39.6","21.2",,,,"15.3","26303.0303030303","43.2121212121212","3.30415958347263","0.367741935483871","0.336405529953917","0.31705069124424",,,"8.69094096501285","102265454.545455"
"2015","350725","政和县","1.48970358918291","49.96","14.16","19.21","16.59","16.91","2.3","16.6","7.2","9.4","66.8","61.17","37190","2438","10192","2999","175694","10033","28699","1332","68323","193154","20","39.9","20.48","15.42","5.05","11.9","30096.3855421687","43.3734939759036","2.98179261245578","0.384507606084868","0.332065652522018","0.338470776621297","0.0744395516413131","0.351669335468375","8.97411800712596","116357831.325301"
"2016","350725","政和县","1.325871605866","56.77","18.25","20.48","18.04","18.01","2.47","16.7","7.4","9.3","70.26","64.67","32233","4864","2870","2352","152249","9935","29590","982","44165","210560","5.2","5.7",,,,"10.5","33994.0119760479","44.311377245509","2.33551454265633","0.360753919323586","0.317773471904175","0.317245023780166","0.0567782279372908","0.268185661440902","7.93935093332934","126083832.335329"
"2017","350725","政和县","1.48566427017903","61.63","15.73","23.93","21.97","20.57","3.35","16.8","7.78","9.02","74.33","72.04","34747","7847",,"2281","159814","9439","28528","1067","36381","241673","5.8","11.4","7.7","7.8","7.5","10","36684.5238095238","46.3095238095238","2.41061864380826","0.388284926172319","0.35648223267889","0.333766023040727","0.0563800097355184","0.259312023365244","8.84323970344661","143852976.190476"
"2018","350725","政和县","1.53068890534514","69.87","16.47","27.53","25.87","23.22","4.31","16.9","7.95","8.95",,,"36990","8991",,"2994","167040","12723","30100","1815","41959","269851",,,"9.5","9.2","10.1","11.7","41343.1952662722","47.0414201183432","2.19076700349956","0.394017460998998","0.37025905252612","0.332331472735079","0.0529411764705882","0.239072563331902","9.05733080085882","159675147.928994"
"2019","350725","政和县","1.57482822549729","98.27","17.79","40.66","39.82","34.33","6.34","16.9","8.11","8.79",,,"37456","11302","3352","870","182068","15071","30772","2187","41911","576631",,,"8.2","6","13.2","11.7","58147.9289940828","47.9881656804734","1.60255238170071","0.413758013635901","0.405210135341406","0.34934364505953","0.0381153963569757","0.185273226824056","9.31851021004314","341201775.147929"
"2020","350725","政和县","1.41947460901649","98.32","18.65","36.49","43.18","30.13","6.36","17.9","9.28","8.62",,,"38812","10727","3127","636","203751","14963","31252","2211","47034","561190",,,"-7.3","-1.4","-18.2","-2.7","54927.374301676","51.8435754189944","1.44372926059448","0.37113506916192","0.439178193653377","0.306448331977217","0.0394751830756713","0.207232506102522","7.93002574869548","313513966.480447"
"2021","350725","政和县","1.68532495305492","104.5","21.06","35.21","48.23","27.72","7.5","17.8","9.3","8.5","104.37","5.74","41503","13980","5007","826","196924","14699","32443","1803","38352","59.29","6.6","43.4","9.5","10.3","7.3","5.7","58707.8651685393","52.247191011236","1.61275115124873","0.336937799043062","0.461531100478469","0.265263157894737","0.0397157894736842","0.188444019138756","9.46811771379168","33308.9887640449"
"2013","350781","邵武市","1.11185258433942","164.19","28.98","82.09","63.87","18.22","53.12","27.5","18.6","8.9","193.33","180.33",,,,,,,,,,"807503","54.5","53.6",,,,"21.5","59705.4545454545","67.6363636363636","0.677174361617285","0.499969547475486","0.389000548145441","0.110968999330044",,,"4.0431003066888","293637454.545455"
"2014","350781","邵武市","1.28231053900016","185.42","30.25","94.28","60.89","72.12","22.16","27.4","18.5","8.9","264.11","246.31",,,,,,,,,,"931979","36.6","36.6",,,,"16.5","67671.5328467153","67.5182481751825","0.691570779311919","0.508467263509869","0.328389601984683","0.388954805306871",,,"4.6799654708035","340138321.167883"
"2015","350781","邵武市","1.4021598130733","191.98","30.9","92.34","68.74","78.78","13.56","27.3","18.4","8.9","344.7","321.48","132103","11295","26325","6621","260822","18939","41719","1126","49469","924558","30.5","30.5","88.81","46.16","42.65","14.6","70322.3443223443","67.3992673992674","0.730367649272476","0.4809876028753","0.358058131055318","0.410355245338056","0.0688108136264194","0.135858943639963","5.13611653140403","338665934.065934"
"2016","350781","邵武市","1.62266353264204","205.96","31.79","98.39","75.78","83.86","14.53","27.5","18.65","8.85","339.81","325.12","107426","18336","8340","6388","237194","20114","52454","551","37140","1068282","-1.4","1.1",,,,"10","74894.5454545455","67.8181818181818","0.787853725306875","0.477714119246456","0.367935521460478","0.407166440085453","0.0521586715867159","0.115165080598174","5.90059466415287","388466181.818182"
"2017","350781","邵武市","1.30456027144522","230.44","25.32","111.45","93.67","95.02","16.43","27.7","18.92","8.78","386.82","365.54","115456","30183","-25","5562","290450","19436","58779","515","50536","1201791","13.8","12.4","5","8","-4","11.7","83191.3357400722","68.3032490974729","0.566117111371819","0.483639993056761","0.406483249435862","0.412341607359833","0.0501024127755598","0.126041485853151","4.70960386803329","433859566.787004"
"2018","350781","邵武市","1.41310294618006","257.72","27.5","124.65","105.57","102.95","21.7","27.8","19.15","8.65",,,"124972","40332","79","10445","282422","22416","59984","1629","47757","1360188",,,"7.1","11.1","1.9","13.2","92705.035971223","68.8848920863309","0.548309384673312","0.48366444203011","0.409630606860158","0.399464535154431","0.0484913860003104","0.109584820735682","5.08310412294986","489276258.992806"
"2019","350781","邵武市","1.51939827460122","244.25","30.18","117.66","96.4","94.88","22.83","27.7","19.28","8.42",,,"127802","37638","10460","2738","288934","24614","60111","1710","43560","1176940",,,"0.8","8.7","-9.1","11.9","88176.8953068592","69.6028880866426","0.622066847329056","0.481719549641761","0.39467758444217","0.388454452405322","0.0523242579324463","0.118294370522006","5.48519232708022","424888086.642599"
"2020","350781","邵武市","1.46414665619565","241.66","29.37","107.27","105.03","83.13","24.19","27.4","21.8","5.6",,,"132057","26482","7947","2534","310303","18373","60323","1766","46513","1154432",,,"-7.4","-11.2","-1.1","-1.9","88197.0802919708","79.5620437956204","0.605870502439647","0.443888107258131","0.434618886038236","0.343995696433005","0.054645783331954","0.128404783580237","5.34360093502062","421325547.445256"
"2021","350781","邵武市","1.65843015365573","257.04","32.61","108.58","115.85","80.23","28.37","27.3","21.8","5.5","175.07","17.21","141199","28731","15399","3172","336058","21420","64819","2019","50770","126.44","1.8","-36.1","14.8","12.3","17.8","9.5","94153.8461538462","79.8534798534799","0.645203141011411","0.422424525365702","0.450708061002179","0.312130407718643","0.0549326953003424","0.130741518829754","6.07483572767667","46315.0183150183"
"2013","350782","武夷山市","1.25861204337337","109.89","22.2","41.23","25.95","15.28","46.46","23","12.5","10.5","229.41","220.12",,,,,,,,,,"422016","61.2","63",,,,"21.6","47778.2608695652","54.3478260869565","1.14533810480787","0.375193375193375","0.236145236145236","0.139048139048139",,,"5.47222627553639","183485217.391304"
"2014","350782","武夷山市","1.27341361278756","123.77","23.44","48.2","52.12","29.68","18.52","23.1","12.73","10.37","233.98","217.41",,,,,,,,,,"411480","2","-1.2",,,,"14.9","53580.0865800866","55.1082251082251","1.02885482167533","0.389432010988123","0.421103660014543","0.239799628342894",,,"5.51261304237039","178129870.12987"
"2015","350782","武夷山市","1.5752132825926","138.88","24.54","55.54","58.8","32.02","23.52","23.2","12.9","10.3","301.01","287.99","95866","4397","21305","4573","219151","14244","36743","2365","44812","443382","28.6","32.5","44.97","41.04","3.93","10.4","59862.0689655172","55.6034482758621","1.13422615394052","0.399913594470046","0.423387096774194","0.230558755760369","0.0690279377880184","0.157798819124424","6.7897124249681","191112931.034483"
"2016","350782","武夷山市","1.56060324480414","150.33","27.27","58.68","64.38","34.2","24.48","23.4","13.15","10.25","259.61","243.87","86831","11501","6515","3337","227430","16580","32198","1975","53801","468896","-13.8","-15.3",,,,"10.9","64243.5897435898","56.1965811965812","1.0381183029363","0.390341249251646","0.428257832767911","0.227499501097585","0.0577602607596621","0.151287168229894","6.66924463591513","200382905.982906"
"2017","350782","武夷山市","1.6333692817757","167.37","23.73","66.66","76.98","40.01","26.65","23.7","13.58","10.12","267.79","250.92","80166","18183","377","4292","264683","16660","38945","2781","52857","518333","3.2","2.9","8.2","7.2","15.4","10","70620.253164557","57.2995780590717","0.975903257319532","0.398279261516401","0.459939057178706","0.23905120391946","0.0478974726653522","0.158142438907809","6.89185350960211","218705907.172996"
"2018","350782","武夷山市","1.65782261032687","186.68","25.6","72.82","88.26","44.68","28.14","23.8","13.85","9.95",,,"86816","18616","191","6187","275124","21343","39819","3604","56053","577034",,,"10","10.1","9","11.3","78436.974789916","58.1932773109244","0.888055822973468","0.390079280051425","0.472787658024427","0.23934004713949","0.0465052496250268","0.147377330190701","6.9656412198608","242451260.504202"
"2019","350782","武夷山市","1.61440962185423","207.12","27.76","82.09","97.26","64.78","17.32","23.8","14.04","9.76",,,"90399","23952","4944","3264","277761","21642","42666","2341","60690","668428",,,"7.6","8.2","0.1","10.1","87025.2100840336","58.9915966386555","0.779456171231281","0.396340285824643","0.469582850521437","0.312765546543067","0.0436457126303592","0.134106315179606","6.78323370526987","280852100.840336"
"2020","350782","武夷山市","1.45417148006827","208.05","28.51","74.65","104.89","53.01","21.65","26","15.95","10.05",,,"93467","22528","3959","3836","295957","22024","46163","3262","65783","657131",,,"-18.1","-18.9","-6","-1.7","80019.2307692308","61.3461538461538","0.698952886358217","0.358807978851238","0.504157654409998","0.254794520547945","0.0449252583513578","0.142252823840423","5.59296723103181","252742692.307692"
"2021","350782","武夷山市","1.6897494290503","224.68","30.04","74.78","119.86","51.02","23.78","26.1","16.1","10","214.5","30.43","98197","25846","5148","3026","252623","16918","49908","2310","53043","73.23","0.2","5.6","1.1","1.2","-13.6","11.4","86084.2911877395","61.6858237547893","0.752069355995327","0.332828912230728","0.533469823749332","0.227078511661029","0.0437052697169307","0.112436799003027","6.47413574348774","28057.4712643678"
"2013","350783","建瓯市","1.6412769687116","158.39","46.58","58.06","49.06","9","53.75","45.3","20.3","25","174.68","155.58",,,,,,,,,,"575379","65.8","65.8",,,,"16.2","34964.6799116998","44.8123620309051","1.03622512072202","0.366563545678389","0.309741776627312","0.0568217690510765",,,"3.62312796625077","127015231.788079"
"2014","350783","建瓯市","1.37053364348253","175.92","49.31","66.04","60.57","55.03","11","45.2","21.02","24.18","210.03","189.51",,,,,,,,,,"610088","20.2","21.8",,,,"10.9","38920.3539823009","46.5044247787611","0.779066418532589","0.375397908140064","0.344304229195089","0.31281264211005",,,"3.03215407850117","134975221.238938"
"2015","350783","建瓯市","1.44481314366143","198.67","51.27","77.89","69.51","58.3","19.59","45.1","21.7","23.4","253.32","226.78","89438","8268","19240","5701","261627","12973","57050","613","46215","700754","20.6","19.7","50.43","29.09","21.34","10","44050.9977827051","48.1152993348115","0.727242736025283","0.392057180248654","0.349876679921478","0.293451452156843","0.0450183721749635","0.131689233402124","3.20357681521381","155377827.050998"
"2016","350783","建瓯市","1.92060145600993","218.11","56.85","83.39","77.87","62.17","21.22","45.3","22.42","22.88","262.18","247.21","80596","13969","5267","4007","283361","13747","57899","1339","46003","785594","3.5","9",,,,"9.6","48147.9028697572","49.4922737306843","0.880565520154936","0.382330016963917","0.357021686305075","0.285039658887717","0.0369519966989134","0.129916555866306","4.2397383134877","173420309.050773"
"2017","350783","建瓯市","1.39494856779632","237.2","44.33","97.06","95.81","71.83","25.23","45.5","22.98","22.52","313.95","295.51","83040","23434","402","4949","323013","17310","62801","10368","45913","860650","19.7","19.5","7.9","9.6","5.6","13.1","52131.8681318681","50.5054945054945","0.588089615428465","0.409190556492411","0.403920741989882","0.302824620573356","0.0350084317032041","0.136177487352445","3.06582102812378","189153846.153846"
"2018","350783","建瓯市","2.03346821356194","266.7","48.43","108.41","109.86","79.01","29.4","45.6","23.53","22.07",,,"95498","28806","23","8578","343950","18301","85200","7669","58751","975462",,,"8.5","11.1","4.7","13.3","58486.8421052632","51.6008771929825","0.762455273176581","0.406486689163854","0.411923509561305","0.296250468691414","0.0358072740907387","0.12896512935883","4.4593601174604","213917105.263158"
"2019","350783","建瓯市","1.79342701664424","291.72","51.72","120.14","119.86","96.97","23.24","45.5","23.89","21.61",,,"99908","27621","6714","2390","355301","22885","85231","6978","55533","1526617",,,"8","8.9","6.6","11.6","64114.2857142857","52.5054945054945","0.614776846511806","0.411833264774441","0.410873440285205","0.332407788290141","0.0342479089537913","0.121795214589332","3.94159783877855","335520219.78022"
"2020","350783","建瓯市","2.17881973433759","280.29","53.03","99.42","127.84","76.36","23.1","43.4","22.59","20.81",,,"105758","21617","5862","3502","357177","25460","85265","4112","61934","1456807",,,"-18.8","-16.3","-22.5","-4.6","64582.9493087558","52.0506912442396","0.777344798008345","0.354704056512897","0.45609904027971","0.272432123871704","0.0377316350922259","0.12743123193835","5.02032196851979","335669815.668203"
"2021","350783","建瓯市","2.39568820206633","295.62","56.71","101.57","137.34","75.18","26.43","43.1","22.6","20.5","198.45","29.42","112026","25269","8965","1635","321663","23579","85284","2540","47157","156.2","-5.8","-19.4","2.8","8","-4.5","7.2","68589.3271461717","52.4361948955916","0.810394493629095","0.343582978147622","0.464582910493201","0.254312969352547","0.037895270955957","0.108809620458697","5.55844130409821","36241.2993039443"
"2013","350784","建阳市","1.17868007925708","125.18","30.42","60.6","50.66","9.94","34.16","29.1","15.7","13.4","178.68","144.39",,,,,,,,,,"403278","38.5","30.5",,,,"15.5","43017.1821305842","53.9518900343643","0.941588176431602","0.484102891835756","0.404697235980188","0.079405655855568",,,"4.05044700775629","138583505.154639"
"2014","350784","建阳市","1.38925558338218","140.14","31.65","69.54","38.96","57.28","12.26","29.2","16.03","13.17","234.42","204.34",,,,,,,,,,"439812","31.2","41.5",,,,"15.2","47993.1506849315","54.8972602739726","0.991334082618938","0.496218067646639","0.278007706579135","0.408734123019837",,,"4.7577246006239","150620547.945205"
"2015","350784","建阳市","1.44625347844883","151.81","32.86","75.25","43.7","62.62","12.63","30.8","17","13.8","284.16","241.77","105075","6291","21808","8512","245356","15903","46980","1744","56121","544174","21.2","18.3","72.8","38.49","34.31","14.2","49288.961038961","55.1948051948052","0.952673393352763","0.495685396218958","0.287859824780976","0.412489295830314","0.0692148079836638","0.161620446610895","4.69562817678192","176679870.12987"
"2016","350784","建阳市","1.316215061099","164.59","35.29","79.3","50","65.68","13.62","31.2","17.5","13.7","275.87","224.42","109293","16767","8181","4962","260359","17665","48765","2093","43215","532589","-2.9","-7.2",,,,"12","52753.2051282051","56.0897435897436","0.799693214107175","0.481803268728355","0.303785163132633","0.399052190291026","0.0664031836685096","0.158186402576098","4.21863801634295","170701602.564103"
"2017","350784","建阳市","1.43466217040236","186.92","34.46","91.22","61.24","75.6","15.61","31.7","18.16","13.54","344.17","292.67","117092","25515","142","8242","293976","19626","57920","2454","48601","601638","24.8","30.4","6.8","8.8","4.2","12.4","58965.2996845426","57.2870662460568","0.767527375563","0.4880162636422","0.327626792210571","0.404451102075754","0.0626428418574791","0.1572736999786","4.52574817161628","189791167.192429"
"2018","350784","建阳市","1.5083751458176","207.91","36.84","102.93","68.15","83.64","19.28","32.4","19.21","13.19",,,"128468","26039","24","12265","275036","23653","58618","3057","45776","666921",,,"9.2","13.2","5","10.9","64169.7530864198","59.2901234567901","0.725494274357943","0.495069982203838","0.327786061276514","0.402289452166803","0.0617901976816892","0.132286085325381","4.65547884511605","205839814.814815"
"2019","350784","建阳市","1.79166800011614","248.52","39.73","108.23","100.56","86.45","21.83","32.8","19.81","12.99",,,"131769","34744","15194","2339","290176","24958","60662","3194","46057","923727",,,"2.1","7.1","-3.5","5.6","75768.2926829268","60.3963414634146","0.720935136051883","0.435498149042331","0.404635441815548","0.347859327217125","0.0530214872042492","0.116761628842749","5.46240243937848","281624085.365854"
"2020","350784","建阳市","1.60275654811261","261.94","39.38","106.37","116.2","80.15","26.27","34.1","21","13.1",,,"133646","30225","8289","3185","318329","26849","64880","4352","55616","891928",,,"-1.9","-2.8","-0.8","-3.4","76815.2492668622","61.58357771261","0.611879265523635","0.406085363060243","0.443613041154463","0.305986103687867","0.0510216080018325","0.12152744903413","4.70016583024226","261562463.343109"
"2021","350784","建阳市","1.74067119437247","268.68","44.08","98.75","125.85","68.02","30.76","34.3","21.3","13","172.32","65.34","138317","35678","10656","3228","316462","33363","65256","3388","49414","96.27","0.9","15.5","4.7","5.3","3.9","7.9","78332.361516035","62.0991253644315","0.647860352230337","0.367537591186542","0.468401071907101","0.253163614708947","0.0514801994938216","0.117783980943874","5.07484313228125","28067.055393586"
"2013","350802","新罗区","1.63667621491563","568.68","23.82","349.65","293.65","56","195.21","69.3","48.9","20.4","475.6","354.99",,,,,,,,,,"2180129","26.1","17.5",,,,"15.6","82060.606060606","70.5627705627706","0.287802668445458","0.614844903988183","0.516371245691778","0.0984736582964057",,,"2.36172613984939","314592929.292929"
"2014","350802","新罗区","1.69279728775778","607.66","23.47","370.84","213.34","307.3","63.54","70.6","49.7","20.9","580.57","425.19",,,,,,,,,,"2385048","22.1","19.8",,,,"9.4","86070.821529745","70.3966005665722","0.278576389388438","0.610275483000362","0.351084488036073","0.505710430174769",,,"2.3977298693453","337825495.750708"
"2015","350802","新罗区","1.70587259962439","637.73","25.51","379.55","232.67","311.34","68.21","71.4","50.4","21","675.97","528.66","199678","20329","44895","26157","345799","26226","83952","9843","73810","2816363","16.4","24.3","274.55","153.62","120.94","11.7","89317.9271708683","70.5882352941176","0.267491352080722","0.595157825412008","0.364840920138617","0.488200335565208","0.0313107427908362","0.0542234174337102","2.3891773103983","394448599.439776"
"2016","350802","新罗区","1.66827554696797","692.26","29.51","398.6","264.15","326.28","72.31","72.5","51.55","20.95","759.1","628.4","201915","38800","21340","17316","320524","31396","72817","6274","53855","3123218","15","22.6",,,,"13.9","95484.1379310345","71.1034482758621","0.240989736077192","0.575795221448589","0.381576286366394","0.471325802444168","0.0291675093173085","0.0463011007424956","2.30106971995582","430788689.655172"
"2017","350802","新罗区","1.78921147953299","790.65","37","429.75","323.9","349.56","80.19","73.4","52.41","20.99","845.98","711.13","219365","60076","294","19927","406798","38062","97680","36326","58576","3551392","11.4","13.2","7.3","5.1","9.6","13.4","107717.983651226","71.4032697547684","0.226296272627963","0.543540125213432","0.40966293555935","0.442117245304496","0.0277448934421046","0.0514510845506861","2.43761781952723","483840871.934605"
"2018","350802","新罗区","1.87733542271902","878.83","39.87","479.2","359.77","388.6","90.6","73.5","54.24","19.26",,,"239636","69893","24","25545","406172","41863","94027","13268","66760","3900983",,,"8.7","6.2","11","9.8","119568.707482993","73.7959183673469","0.213617585052743","0.545270416349009","0.409373826564865","0.442178805912406","0.0272676171728321","0.046217357168053","2.55419785403948","530745986.394558"
"2019","350802","新罗区","1.90769053541812","946.5","49.05","463.18","434.27","356.94","106.24","74.2","56.39","17.81",,,"243513","69475","23499","5490","458178","44820","125746","32211","61089","4988982",,,"7.6","7.2","7.9","3.9","127560.64690027","75.9973045822102","0.20155209037698","0.489360802958267","0.458816693079768","0.377115689381933","0.0257277337559429","0.0484076069730586","2.57101150325892","672369541.778976"
"2020","350802","新罗区","1.89403177347686","1018.81","59.23","479.04","480.55","366.29","112.75","84.8","72.77","12.03",,,"242907","61284","24764","5639","488687","51318","133816","12810","70282","4629491",,,"4.5","6.2","2.8","-7.2","120142.688679245","85.813679245283","0.185906280216808","0.47019562038064","0.471677741679018","0.359527291644173","0.0238422276970191","0.0479664510556434","2.23352803476045","545930542.45283"
"2021","350802","新罗区","2.21944230495735","1109.03","53.31","517.92","537.8","397.72","120.2","85","73.03","11.97","321.32","157.94","258520","70820","33384","6017","535034","54124","157501","42488","57568","499.32","2.4","12.2","8.4","8.7","8.1","7.9","130474.117647059","85.9176470588235","0.200124640898565","0.467002696049701","0.484928270650929","0.358619694688151","0.0233104604925025","0.0482434199255205","2.61110859406747","58743.5294117647"
"2013","350821","长汀县","1.55358483742065","141.73","25.67","68.37","50.93","17.44","47.69","39.6","18.2","21.4","133.8","124.09",,,,,,,,,,"443915","42.3","43.4",,,,"13.8","35790.404040404","45.959595959596","1.09615807339353","0.482396105270585","0.359345233895435","0.12305087137515",,,"3.92319403389053","112099747.474747"
"2014","350821","长汀县","1.87320558646922","157.72","27.11","77.23","53.38","57.38","19.84","39.8","18.35","21.45","165.22","154.23",,,,,,,,,,"534918","23.5","24.3",,,,"20.5","39628.1407035176","46.105527638191","1.18767790164166","0.48966522952067","0.338447882323104","0.363809282272381",,,"4.70654669967141","134401507.537688"
"2015","350821","长汀县","1.92614406644266","168.87","28.34","81.67","58.86","60.29","21.38","40","18.5","21.5","203.22","196.56","62412","4921","11372","5630","311672","17245","67119","2649","77843","584751","23","27.5","51.01","28.79","22.22","13.6","42217.5","46.25","1.14060760729713","0.483626458222301","0.348552140699947","0.357020193047907","0.0369586072126488","0.184563273524013","4.81536016610665","146187750"
"2016","350821","长汀县","1.86472947848556","184.85","31.25","87.08","66.52","64.03","23.05","40.2","19.45","20.75","231.99","225.01","64802","11486","6354","6681","330611","20603","71532","2801","71840","691153","14.2","14.5",,,,"14.1","45982.5870646766","48.3830845771144","1.00877980983801","0.471084663240465","0.359859345415201","0.346388964024885","0.0350565323235055","0.178853665133892","4.63863054349642","171928606.965174"
"2017","350821","长汀县","1.88339364794944","208","30.25","92","85.76","66.03","25.96","40.2","20.66","19.54","272.94","264.56","72159","20170","27","8244","371521","21389","80582","987","64905","787669","17.7","17.6","8.9","-5.6","27.3","13.3","51741.2935323383","51.3930348258706","0.905477715360308","0.442307692307692","0.412307692307692","0.317451923076923","0.0346918269230769","0.178615865384615","4.68505882574488","195937562.189055"
"2018","350821","长汀县","1.90277209578088","231.74","32.46","103.05","96.24","73.69","29.35","40.2","21.06","19.14",,,"89821","26639","64","9345","346826","24042","84126","15151","66856","902494",,,"9.5","4.8","13.4","14.6","57646.7661691542","52.3880597014925","0.821080562605023","0.444679382066109","0.415293000776732","0.317985673599724","0.0387593855182532","0.149661689824804","4.73326391985294","224500995.024876"
"2019","350821","长汀县","1.98397102205105","289.75","38.05","132.1","119.6","91.18","40.92","40.1","21.09","19.01",,,"95600","27190","10435","2252","381248","26477","84697","20889","77016","1567875",,,"9.2","5","12.5","8.5","72256.8578553616","52.5935162094763","0.68471821295981","0.455910267471959","0.412769628990509","0.314685073339085","0.0329939603106126","0.131578257118205","4.94755865848142","390991271.820449"
"2020","350821","长汀县","2.05317776574656","309.77","41.38","137.15","131.24","93.88","43.27","39.8","21.29","18.51",,,"97997","25016","11838","2667","391409","25979","89727","17270","80219","1541017",,,"5.5","7.1","4.2","-1.7","77831.6582914573","53.4924623115578","0.662807168462588","0.442747845175453","0.423669173903219","0.303063563288892","0.0316354069148078","0.126354714788391","5.15873810489086","387190201.005025"
"2021","350821","长汀县","2.34994921595653","318.15","39.7","129.64","148.81","82.47","47.17","39.9","21.5","18.4","118.13","24.29","101525","27087","13995","2331","397708","33732","95954","2766","68996","168.48","14.8","36.7","4.8","0.8","8.3","9.3","79736.8421052632","53.8847117794486","0.738629330805133","0.407480748074807","0.467735344963068","0.259217350306459","0.0319110482476819","0.125006443501493","5.88959703247251","42225.5639097744"
"2013","350822","永定县","1.52868584006769","168.59","25.31","87.67","72.92","14.75","55.61","36","14.8","21.2","130.01","124.51",,,,,,,,,,"533766","44.1","55",,,,"10.1","46830.5555555556","41.1111111111111","0.90674763631751","0.520018980959725","0.432528619728335","0.0874903612313898",,,"4.24634955574358","148268333.333333"
"2014","350822","永定县","1.75674928594297","185.05","26.98","96.62","61.44","79.87","16.75","35.9","14.97","20.93","161.16","155.22",,,,,,,,,,"614365","24","24.7",,,,"15.1","51545.9610027855","41.6991643454039","0.949337630879746","0.522129154282626","0.332018373412591","0.431613077546609",,,"4.89345204998042","171132311.977716"
"2015","350822","永定县","1.70696704313739","198.23","29.48","101.06","67.7","82.79","18.26","36.1","16","20.1","203.57","196.1","103204","14609","12919","6713","268627","22760","76473","3031","45672","656862","26.3","26.3","38.19","9.28","28.92","14.9","54911.3573407202","44.3213296398892","0.86110429457569","0.509811834737426","0.341522473893962","0.41764616859204","0.0520627553851587","0.135512788175352","4.72844056270745","181956232.686981"
"2016","350822","永定县","1.77969709521621","214.61","32.77","107.06","74.77","87.35","19.71","36.3","16.44","19.86","243.85","236.04","81749","21446","9269","5522","251537","20878","58590","1750","41683","762523","20.4","21",,,,"13.1","59121.2121212121","45.2892561983471","0.829270348639956","0.498858394296631","0.348399422207726","0.407017380364382","0.0380918876100834","0.117206560738083","4.90274681877744","210061432.506887"
"2017","350822","永定县","1.80514449364228","242.01","28.54","115.12","98.35","92.8","22.32","36.3","17.46","18.84","290.31","281.02","91889","31437","63","6919","290544","26560","66295","5406","45375","869611","19.1","19.1","7.1","24","1.4","12.3","66669.4214876033","48.099173553719","0.745896654535879","0.475682823023842","0.406388165778274","0.383455229122764","0.0379690921862733","0.120054543200694","4.97284984474457","239562258.953168"
"2018","350822","永定县","1.76423583234417","266.23","30.75","125.4","110.08","99.8","25.6","36.2","17.67","18.53",,,"104246","34013","-232","11275","294481","24523","78605","2324","54372","985407",,,"5","-7.9","8.6","13.3","73544.1988950276","48.8121546961326","0.662673565091902","0.471021297374451","0.413477068699996","0.374863839537242","0.0391563685535064","0.110611501333433","4.87357964735959","272211878.453039"
"2019","350822","永定县","2.01009932444736","267.05","35.78","108.88","122.39","60.71","48.17","36","17.6","18.4",,,"108694","30049","11987","2521","291505","23985","76213","4186","50466","1312656",,,"3.5","-12.7","8.4","9.5","74180.5555555556","48.8888888888889","0.752705232895473","0.407713911252574","0.458303688447856","0.227335704924171","0.0407017412469575","0.109157461149597","5.583609234576","364626666.666667"
"2020","350822","永定县","2.14880276386556","285.83","39.69","112.64","133.49","61.42","51.22","32.5","16.35","16.15",,,"103541","28924","13319","3746","302563","25496","88455","2653","48169","1251681",,,"3.3","41.7","-7.8","-4.6","87947.6923076923","50.3076923076923","0.751776497871308","0.394080397439037","0.467025854528916","0.21488297239618","0.036224679005003","0.105854179057482","6.61170081189403","385132615.384615"
