"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2020","350111","晋安区","3.32384903738804","959.05","7.99","253.98","697.08","139.98","114.28","79","77.01","1.99",,,"228809","69052","25308",,"346721","32925","71193","8881","22278","9065109",,,"5.3","7.1","4.4","1.3","121398.734177215","97.4810126582279","0.346577241790109","0.264824565976748","0.726844272978468","0.145956936551796","0.0238578801939419","0.0361525467910954","4.20740384479499","1147482151.89873"
"2021","350111","晋安区","3.55653735071403","1063.28","8.48","284.41","770.38","152.41","132.31","79.5","77.51","1.99","486.08","331.31","266105","68681","38822","0","338292","30668","73739","4607","43714","840.22","-23","-19.6","8.9","9.1","8.5","-7.3","133745.911949686","97.496855345912","0.334487374042024","0.267483635542849","0.724531637950493","0.143339477842149","0.0250268038522308","0.0318158904521857","4.4736318876906","105688.050314465"
"2013","350121","闽侯县","2.88919878439726","377.46","32.65","232.05","205.93","26.12","112.76","69.3","35.3","33.96","449.94","274.65",,,,,,,,,,"1415753","19.4","-8.5",,,,"32.2","54467.5324675325","50.9379509379509","0.765431776717337","0.614767127642664","0.545567742277327","0.0691993853653367",,,"4.16911801500326","204293362.193362"
"2014","350121","闽侯县","3.12509831336269","412.73","33.31","256.95","122.47","228.47","29.52","69.5","36.14","33.36","535.77","310.53",,,,,,,,,,"1747533","19.1","13.1",,,,"23.4","59385.6115107914","52","0.757177407351704","0.622561965449567","0.296731519395246","0.553558016136457",,,"4.49654433577366","251443597.122302"
"2015","350121","闽侯县","3.08955865916693","438.73","33.96","269.12","135.66","238.53","31.68","70.2","37.46","32.74","383.4","215.67","652193","47016","123621","48216","776807","42799","162050","11887","62046","1964508","-28.4","-30.5","194.52","73.98","120.54","7.6","62497.150997151","53.3618233618234","0.704205014283712","0.613406878946049","0.309210676270143","0.54368290292435","0.148654753493037","0.177058099514508","4.401080711064","279844444.444444"
"2016","350121","闽侯县","2.52369378734405","484","38.65","288.71","156.63","255.96","33.98","70.5","38.28","32.22","461.58","211.6","654903","127619","68882","69684","905678","52557","217648","12082","61663","2301073","20.4","-1.9",,,,"13.4","68652.4822695036","54.2978723404255","0.52142433622811","0.59650826446281","0.323615702479339","0.528842975206612","0.135310537190083","0.187123553719008","3.57970749977879","326393333.333333"
"2017","350121","闽侯县","2.87619329834005","560.07","34.86","325.09","200.12","288.33","38.19","71.5","40.04","31.46","561.42","277.39","710941","183726","822","88809","945671","60969","126257","20535","65044","2767415","21.6","31.1","11","5.2","14.4","16.1","78331.4685314685","56","0.513541753412975","0.580445301480172","0.357312478797293","0.514810648668916","0.126937882764654","0.168848715339154","4.02264796970636","387051048.951049"
"2018","350121","闽侯县","2.72341280447858","603.55","39.17","341.34","223.04","308.46","34.4","72.5","41.32","31.18",,,"800712","194964","486","100238","996962","71143","144857","28913","63199","3173058",,,"8.9","14.6","5.2","12","83248.275862069","56.9931034482759","0.451232342718678","0.565553806644023","0.369546847817082","0.511076132880457","0.132667053268163","0.165183000579902","3.75643145445321","437663172.413793"
"2019","350121","闽侯县","2.84155780637973","740.22","45.71","394.53","299.98","317.41","77.4","74","42.48","31.52",,,"732343","197697","85701","11879","1062951","87277","193972","38041","66322","3093994",,,"8.7","16.2","3.8","10.2","100029.72972973","57.4054054054054","0.383880171621914","0.53299019210505","0.4052578963011","0.428804949879765","0.0989358569074059","0.143599335332739","3.83994298159423","418107297.297297"
"2020","350121","闽侯县","2.79804976024898","793.04","48.52","413.42","331.1","327.32","86.41","99.3","59.69","39.61",,,"781411","236258","76294","27534","987956","79434","194008","37742","69182","2972032",,,"3.5","6.8","-1.1","-3.9","79863.0412890232","60.110775427996","0.352825804530538","0.521310400484213","0.417507313628569","0.412740845354585","0.0985336174720065","0.12457833148391","2.81777417950552","299298288.016113"
"2021","350121","闽侯县","3.17037320043504","881.16","51.69","452.96","376.51","347.78","105.46","101.5","61.31","40.19","721.2","289.19","951796","255851","96467","25678","987252","86959","195217","15993","51401","318.34","15.1","15.5","12","5","16.6","7.1","86813.7931034483","60.4039408866995","0.359795406105025","0.514049661809433","0.427289028099324","0.394684279812974","0.108016251305098","0.112040038131554","3.12352039451728","31363.5467980296"
"2013","350122","连江县","2.86714499955002","302.53","107.12","116.5","102.62","13.88","78.91","57","23.3","33.69","342.27","211.59",,,,,,,,,,"789665","32.6","34.6",,,,"18.2","53075.4385964912","40.8771929824561","0.947722539764658","0.385085776617195","0.339206029154134","0.0458797474630615",,,"5.03007894657898","138537719.298246"
"2014","350122","连江县","3.15425080250152","325.35","110.96","131.21","83.17","115.94","15.77","57.6","24.77","32.83","424.71","324.33",,,,,,,,,,"926790","24.1","53.3",,,,"17.4","56484.375","43.0034722222222","0.969494637314129","0.403288765944368","0.255632395881358","0.356354694943907",,,"5.47612986545403","160901041.666667"
"2015","350122","连江县","3.00498855907487","352.45","119.93","139.15","93.37","122.7","16.99","58.1","25.54","32.56","518.66","430.66","257358","17192","69544","43853","460637","28769","128024","5201","77694","1146123","22.1","32.8","135.08","82.17","52.91","23.4","60662.6506024096","43.9586919104991","0.852599960015568","0.394807774152362","0.264917009504894","0.3481344871613","0.0730197191090935","0.130695701517946","5.17209734780528","197267297.762478"
