"distcode","county_cn","county_en","province_cn","year","month_count","co2_million_tons","co2_10000_tons"
"350305","秀屿区","Xiuyu District","福建省","2021","12","2.51492264509481","251.492264509481"
"350322","仙游县","Xianyou County","福建省","2013","12","2.111715481297","211.1715481297"
"350322","仙游县","Xianyou County","福建省","2014","12","2.30727060003522","230.727060003522"
"350322","仙游县","Xianyou County","福建省","2015","12","2.4016713824248","240.16713824248"
"350322","仙游县","Xianyou County","福建省","2016","12","2.27165374227517","227.165374227517"
"350322","仙游县","Xianyou County","福建省","2017","12","2.31645299204462","231.645299204462"
"350322","仙游县","Xianyou County","福建省","2018","12","2.40003210608119","240.00321060812"
"350322","仙游县","Xianyou County","福建省","2019","12","2.6099761632333","260.99761632333"
"350322","仙游县","Xianyou County","福建省","2020","12","2.54631726472849","254.631726472849"
"350322","仙游县","Xianyou County","福建省","2021","12","2.81005412972768","281.005412972768"
"350402","梅列区","Melie district","福建省","2013","12","2.89662615764094","289.662615764094"
"350402","梅列区","Melie district","福建省","2014","12","3.00929085035155","300.929085035155"
"350402","梅列区","Melie district","福建省","2015","12","3.00006956388921","300.006956388921"
"350402","梅列区","Melie district","福建省","2016","12","3.02093347505406","302.093347505406"
"350402","梅列区","Melie district","福建省","2017","12","2.83909473046882","283.909473046882"
"350402","梅列区","Melie district","福建省","2018","12","2.90674032414896","290.674032414896"
"350402","梅列区","Melie district","福建省","2019","12","3.35809522935318","335.809522935318"
"350402","梅列区","Melie district","福建省","2020","12","3.27028741438904","327.028741438904"
"350402","梅列区","Melie district","福建省","2021","12","3.7380909633444","373.80909633444"
"350403","三元区","Sanyuan District","福建省","2013","12","2.70335361675621","270.335361675621"
"350403","三元区","Sanyuan District","福建省","2014","12","2.90284973234608","290.284973234608"
"350403","三元区","Sanyuan District","福建省","2015","12","3.04829189719864","304.829189719864"
"350403","三元区","Sanyuan District","福建省","2016","12","3.26021404273738","326.021404273738"
"350403","三元区","Sanyuan District","福建省","2017","12","3.41591334687666","341.591334687666"
"350403","三元区","Sanyuan District","福建省","2018","12","3.4633291119909","346.33291119909"
"350403","三元区","Sanyuan District","福建省","2019","12","3.69820008182397","369.820008182397"
"350403","三元区","Sanyuan District","福建省","2020","12","3.70079923040053","370.079923040053"
"350403","三元区","Sanyuan District","福建省","2021","12","4.05305129541865","405.305129541865"
"350421","明溪县","Mingxi County","福建省","2013","12","2.64856429308783","264.856429308783"
"350421","明溪县","Mingxi County","福建省","2014","12","2.64257443676796","264.257443676796"
"350421","明溪县","Mingxi County","福建省","2015","12","2.86004831476409","286.004831476409"
"350421","明溪县","Mingxi County","福建省","2016","12","2.97870786138422","297.870786138422"
"350421","明溪县","Mingxi County","福建省","2017","12","3.03024869310582","303.024869310582"
"350421","明溪县","Mingxi County","福建省","2018","12","3.0640012416241","306.40012416241"
"350421","明溪县","Mingxi County","福建省","2019","12","3.1557881616846","315.57881616846"
"350421","明溪县","Mingxi County","福建省","2020","12","3.08951838563335","308.951838563334"
"350421","明溪县","Mingxi County","福建省","2021","12","3.39042387764133","339.042387764132"
"350423","清流县","Qingliu County","福建省","2013","12","2.77610760309997","277.610760309997"
"350423","清流县","Qingliu County","福建省","2014","12","2.79568064115697","279.568064115697"
"350423","清流县","Qingliu County","福建省","2015","12","2.61829077258851","261.829077258851"
"350423","清流县","Qingliu County","福建省","2016","12","2.62712433619316","262.712433619316"
"350423","清流县","Qingliu County","福建省","2017","12","2.64752260846763","264.752260846763"
