"year","county_cn","official_area_cn","source_title","source_url","variable_group","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","per_capita_gdp_yuan","resident_population_10k","urban_population_10k","rural_population_10k","urbanization_rate_pct","fixed_asset_investment_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_100m_yuan","real_estate_development_growth_pct","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_100m_yuan","retail_sales_growth_pct"
"2020","政和县","政和县","21-10 一般公共预算支出（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2110.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"203751","14963","31252","2211","47034",,,,,
"2020","政和县","政和县","21-9 地方一般公共预算收入（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2109.htm","budget_revenue",,,,,,,,,,,,,,,,"38812","10727","3127","636",,,,,,,,,,
"2020","政和县","政和县","21-1 地区生产总值（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2101.htm","gdp","98.32","18.65","36.49","43.18","30.13","6.36","56668",,,,,,,,,,,,,,,,,,,,,,
"2020","政和县","政和县","21-14 规模以上工业增加值增速（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2114.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"-7.3","-1.4","-18.2",,
"2020","政和县","政和县","21-4 年末常住人口数（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2104.htm","population",,,,,,,,"17.9","9.28","8.62","51.9",,,,,,,,,,,,,,,,,,
"2020","政和县","政和县","21-19 社会消费品零售总额（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2119.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"561190","-2.7"
"2020","周宁县","周宁县","21-10 一般公共预算支出（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2110.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"217283","17994","32428","3248","35040",,,,,
"2020","周宁县","周宁县","21-9 地方一般公共预算收入（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2109.htm","budget_revenue",,,,,,,,,,,,,,,,"39119","10079","2369","439",,,,,,,,,,
"2020","周宁县","周宁县","21-1 地区生产总值（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2101.htm","gdp","76.16","8.41","23.53","44.22","13.32","10.21","51284",,,,,,,,,,,,,,,,,,,,,,
"2020","周宁县","周宁县","21-14 规模以上工业增加值增速（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2114.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"-13.4","-13.5","-13.4",,
