"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","resident_population_10k","per_capita_gdp_yuan","urbanization_rate_pct","secondary_industry_share","tertiary_industry_share","industry_share","retail_sales_100m_yuan","retail_per_capita_yuan","co2_ton_per_10000_yuan","co2_per_capita_ton"
"2017","350505","泉港区","2.60203073082844","526.89","33.4","157751.497005988","51.5868263473054","0.764466966539505","0.217901269714741","0.684715974871415","894005","267666167.664671","0.493847051723973","7.79051117014503"
"2018","350505","泉港区","2.67120689323714","654.11","33.6","194675.595238095","52.5","0.781504639892373","0.20097537111495","0.70624206937671","1070804","318691666.666667","0.408372734438724","7.95002051558673"
"2019","350505","泉港区","2.82839704738963","720.99","33.6","214580.357142857","53.6904761904762","0.79965048058919","0.184981761189476","0.70827612033454","1588846","472870833.333333","0.392293519659029","8.41784835532628"
"2020","350505","泉港区","2.84004063629757","734.44","35.5","206884.507042254","55.6619718309859","0.799507107456021","0.185733347856871","0.704958880235281","1338702","377099154.929577","0.386694711112898","8.00011446844386"
"2021","350505","泉港区","3.14550539055664","657.8","35.9","183231.197771588","56.4902506963788","0.755594405594406","0.226527820006081","0.664320462146549","150.64","41961.0027855153","0.478185678102256","8.76185345558953"
"2013","350521","惠安县","2.39931150890066","619.87","96.9","63970.0722394221","52.5283797729618","0.658605836707697","0.561972671689225","0.0966331650184716","1637430","168981424.148607","0.387066886427906","2.47606966862813"
"2014","350521","惠安县","2.5996502444406","691.81","98.4","70305.8943089431","53.9024390243902","0.672858154695653","0.286870672583513","0.57689249938567","1795386","182457926.829268","0.375775175906766","2.64192098012256"
"2015","350521","惠安县","2.59967264357746","749.7","99.5","75346.7336683417","55.1557788944724","0.670294784580499","0.291063091903428","0.574976657329598","2212322","222343919.59799","0.346761723833195","2.61273632520348"
"2016","350521","惠安县","2.56154138081137","819.23","100.3","81677.9661016949","56.370887337986","0.670104854558549","0.292921401804133","0.57704185637733","2496185","248871884.346959","0.312676706274352","2.55387974158661"
"2017","350521","惠安县","2.62747534093025","949.31","101.3","93712.7344521224","57.7986179664363","0.679335517375778","0.28948394096765","0.589491314744393","2737609","270247680.157947","0.276777379457738","2.59375650634773"
"2018","350521","惠安县","2.7217149292625","1094.53","101.9","107412.168792934","59.0186457311089","0.679963089179831","0.29228070496012","0.58923008049117","3051069","299417958.783121","0.248665174025609","2.67096656453631"
